seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	3816823	3816882	60	*	X00167	339448	3805697	3816857	11161	-	0	overlapStart	0	C1orf174
chr1	3817439	3817573	135	*	X00168	339448	3805697	3816857	11161	-	581	upstream	581	C1orf174
chr1	3817724	3817954	231	*	X00169	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	6052030	6052158	129	*	X00190	8514	6052358	6161253	108896	+	199	upstream	199	KCNAB2
chr1	6052821	6052873	53	*	X00191	261734	5922870	6052533	129664	-	287	upstream	287	NPHP4
chr1	6052954	6053166	213	*	X00192	261734	5922870	6052533	129664	-	420	upstream	420	NPHP4
chr1	6453543	6453586	44	*	X00225	11332	6324332	6453826	129495	-	0	inside	239	ACOT7
chr1	6453872	6453976	105	*	X00226	11332	6324332	6453826	129495	-	45	upstream	45	ACOT7
chr1	6640183	6640317	135	*	X00241	3104	6640056	6649340	9285	+	0	inside	126	ZBTB48
chr1	6640337	6640486	150	*	X00242	3104	6640056	6649340	9285	+	0	inside	280	ZBTB48
chr1	6673307	6673569	263	*	X00243	148479	6673756	6684093	10338	+	186	upstream	186	PHF13
chr1	6673794	6673831	38	*	X00244	148479	6673756	6684093	10338	+	0	inside	37	PHF13
chr1	6673963	6674713	751	*	X00245	148479	6673756	6684093	10338	+	0	inside	206	PHF13
chr1	6682940	6683074	135	*	X00246	90326	6684925	6695646	10722	+	1850	upstream	1850	THAP3
chr1	6844744	6844863	120	*	X00249	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	6845512	6845598	87	*	X00250	23261	6845384	7829766	984383	+	0	inside	127	CAMTA1
chr1	6845629	6845752	124	*	X00251	23261	6845384	7829766	984383	+	0	inside	244	CAMTA1
chr1	7830942	7831076	135	*	X00293	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7831182	7831203	22	*	X00294	9341	7831329	7841492	10164	+	125	upstream	125	VAMP3
chr1	7843482	7843691	210	*	X00295	8863	7844380	7905237	60858	+	688	upstream	688	PER3
chr1	7843776	7843870	95	*	X00296	8863	7844380	7905237	60858	+	509	upstream	509	PER3
chr1	8085996	8086220	225	*	X00298	54206	8071779	8086393	14615	-	0	inside	172	ERRFI1
chr1	8087308	8087412	105	*	X00299	54206	8071779	8086393	14615	-	914	upstream	914	ERRFI1
chr1	8877300	8877419	120	*	X00326	473	8412464	8877699	465236	-	0	inside	279	RERE
chr1	8877585	8877734	150	*	X00327	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9648594	9648624	31	*	X00350	199953	9648932	9674935	26004	+	307	upstream	307	TMEM201
chr1	9969998	9970087	90	*	X00368	56998	9908334	9970316	61983	-	0	inside	228	CTNNBIP1
chr1	9970652	9970792	141	*	X00369	56998	9908334	9970316	61983	-	335	upstream	335	CTNNBIP1
chr1	10093060	10093284	225	*	X00370	10277	10093041	10241296	148256	+	0	inside	18	UBE4B
chr1	10459035	10459048	14	*	X00376	5226	10459085	10480201	21117	+	36	upstream	36	PGD
chr1	10532191	10532325	135	*	X00378	1676	10520603	10532613	12011	-	0	inside	287	DFFA
chr1	10535009	10535265	257	*	X00379	5195	10535003	10690815	155813	+	0	inside	5	PEX14
chr1	11072269	11072284	16	*	X00398	23435	11072679	11085549	12871	+	394	upstream	394	TARDBP
chr1	11072365	11072388	24	*	X00399	23435	11072679	11085549	12871	+	290	upstream	290	TARDBP
chr1	11119965	11120006	42	*	X00404	6723	11114649	11120091	5443	-	0	inside	84	SRM
chr1	11120850	11120969	120	*	X00405	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11160026	11160156	131	*	X00406	5394	11126676	11159938	33263	-	87	upstream	87	EXOSC10
chr1	11322310	11322414	105	*	X00408	2475	11166588	11322608	156021	-	0	inside	193	MTOR
chr1	11538923	11538942	20	*	X00416	57540	11539295	11597640	58346	+	352	upstream	352	DISP3
chr1	11715094	11715137	44	*	X00420	26232	11708418	11714888	6471	-	205	upstream	205	FBXO2
chr1	11715153	11715271	119	*	X00421	26232	11708418	11714888	6471	-	264	upstream	264	FBXO2
chr1	11864961	11865080	120	*	X00428	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866431	11866610	180	*	X00429	1185	11866153	11903201	37049	+	0	inside	277	CLCN6
chr1	11866431	11866610	180	*	X00429	4524	11845787	11866160	20374	-	270	upstream	270	MTHFR
chr1	11907794	11907898	105	*	X00431	4878	11905767	11907840	2074	-	0	overlapStart	0	NPPA
chr1	11994695	11994799	105	*	X00435	5351	11994724	12035599	40876	+	0	overlapStart	0	PLOD1
chr1	11994935	11995039	105	*	X00436	5351	11994724	12035599	40876	+	0	inside	210	PLOD1
chr1	12677827	12677886	60	*	X00468	9249	12627939	12677820	49882	-	6	upstream	6	DHRS3
chr1	12679687	12679806	120	*	X00469	9249	12627939	12677820	49882	-	1866	upstream	1866	DHRS3
chr1	15480274	15480355	82	*	X00483	200197	15438311	15478960	40650	-	1313	upstream	1313	TMEM51-AS1
chr1	15573912	15574052	141	*	X00489	114827	15573768	15726778	153011	+	0	inside	143	FHAD1
chr1	15851030	15851416	387	*	X00499	842	15817324	15851285	33962	-	0	overlapStart	0	CASP9
chr1	15851030	15851416	387	*	X00499	23341	15853352	15918874	65523	+	1935	upstream	1935	DNAJC16
chr1	15851617	15851719	103	*	X00500	842	15817324	15851285	33962	-	331	upstream	331	CASP9
chr1	15851617	15851719	103	*	X00500	23341	15853352	15918874	65523	+	1632	upstream	1632	DNAJC16
chr1	15851810	15851944	135	*	X00501	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X00501	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X00502	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X00502	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15853603	15853737	135	*	X00503	23341	15853352	15918874	65523	+	0	inside	250	DNAJC16
chr1	15943360	15943494	135	*	X00504	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15943990	15944109	120	*	X00505	84301	15943953	15987552	43600	+	0	inside	36	DDI2
chr1	16010199	16010784	586	*	X00507	23207	16010827	16061264	50438	+	42	upstream	42	PLEKHM2
chr1	16062464	16062532	69	*	X00509	284723	16062809	16067884	5076	+	276	upstream	276	SLC25A34
chr1	16174985	16175044	60	*	X00524	729614	16160710	16174642	13933	-	342	upstream	342	FLJ37453
chr1	16175300	16175449	150	*	X00525	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	16176105	16176209	105	*	X00526	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	16301983	16302417	435	*	X00534	7709	16268364	16302627	34264	-	0	inside	209	ZBTB17
chr1	16563740	16563814	75	*	X00555	79363	16558182	16563659	5478	-	80	upstream	80	CPLANE2
chr1	16679678	16679782	105	*	X00558	54455	16576559	16678948	102390	-	729	upstream	729	FBXO42
chr1	16693696	16693815	120	*	X00559	26099	16693525	16724643	31119	+	0	inside	170	SZRD1
chr1	17307797	17307961	165	*	X00573	4237	17300999	17308081	7083	-	0	inside	119	MFAP2
chr1	17765870	17765959	90	*	X00583	55920	17733251	17766250	33000	-	0	inside	290	RCC2
chr1	17766215	17766268	54	*	X00584	55920	17733251	17766250	33000	-	0	overlapStart	0	RCC2
chr1	17766330	17766364	35	*	X00585	55920	17733251	17766250	33000	-	79	upstream	79	RCC2
chr1	19283807	19283822	16	*	X00640	126917	19230774	19282826	52053	-	980	upstream	980	IFFO2
chr1	19637986	19638335	350	*	X00645	54896	19638740	19658922	20183	+	404	upstream	404	SLC66A1
chr1	19811548	19811967	420	*	X00661	832	19665267	19812066	146800	-	0	inside	98	CAPZB
chr1	19812398	19812547	150	*	X00662	832	19665267	19812066	146800	-	331	upstream	331	CAPZB
chr1	20812318	20812722	405	*	X00678	55450	20808884	20812728	3845	-	0	inside	5	CAMK2N1
chr1	20812732	20812871	140	*	X00679	55450	20808884	20812728	3845	-	3	upstream	3	CAMK2N1
chr1	21060438	21060527	90	*	X00683	400745	21046225	21059330	13106	-	1107	upstream	1107	SH2D5
chr1	21113449	21113523	75	*	X00685	50809	21069171	21113799	44629	-	0	inside	275	HP1BP3
chr1	21503045	21503109	65	*	X00690	8672	21132785	21503381	370597	-	0	inside	271	EIF4G3
chr1	22263353	22263502	150	*	X00731	3339	22148737	22263750	115014	-	0	inside	247	HSPG2
chr1	22379391	22379570	180	*	X00733	998	22379120	22419436	40317	+	0	inside	270	CDC42
chr1	23036564	23036773	210	*	X00754	2048	23037331	23241823	204493	+	557	upstream	557	EPHB2
chr1	23036834	23036983	150	*	X00755	2048	23037331	23241823	204493	+	347	upstream	347	EPHB2
chr1	23037516	23037635	120	*	X00756	2048	23037331	23241823	204493	+	0	inside	184	EPHB2
chr1	23345344	23345444	101	*	X00774	23028	23345941	23410184	64244	+	496	upstream	496	KDM1A
chr1	23670496	23670825	330	*	X00784	10236	23636276	23670853	34578	-	0	inside	27	HNRNPR
chr1	23671126	23671230	105	*	X00785	10236	23636276	23670853	34578	-	272	upstream	272	HNRNPR
chr1	23671711	23671815	105	*	X00786	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X00787	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23693971	23694060	90	*	X00788	148898	23695464	23698330	2867	+	1403	upstream	1403	ZNF436-AS1
chr1	23810809	23811289	481	*	X00795	55616	23755056	23811057	56002	-	0	overlapStart	0	ASAP3
chr1	23857735	23857765	31	*	X00796	1870	23832920	23857712	24793	-	22	upstream	22	E2F2
chr1	24104766	24104840	75	*	X00805	57095	24104876	24114722	9847	+	35	upstream	35	PITHD1
chr1	24104766	24104840	75	*	X00805	100506963	24086872	24104787	17916	-	0	overlapStart	0	ELOA-AS1
chr1	24105187	24105321	135	*	X00806	100506963	24086872	24104787	17916	-	399	upstream	399	ELOA-AS1
chr1	24105831	24105950	120	*	X00807	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24117796	24118065	270	*	X00808	11313	24117646	24122029	4384	+	0	inside	149	LYPLA2
chr1	24126996	24127340	345	*	X00814	2582	24122089	24127294	5206	-	0	overlapStart	0	GALE
chr1	24285739	24285948	210	*	X00816	55629	24286301	24289949	3649	+	352	upstream	352	PNRC2
chr1	24828721	24828840	120	*	X00822	11123	24828841	24863510	34670	+	0	upstream	0	RCAN3
chr1	24828721	24828840	120	*	X00822	100750325	24822823	24828850	6028	-	0	inside	9	RCAN3AS
chr1	24829208	24829297	90	*	X00823	100750325	24822823	24828850	6028	-	357	upstream	357	RCAN3AS
chr1	24829636	24829661	26	*	X00824	100750325	24822823	24828850	6028	-	785	upstream	785	RCAN3AS
chr1	24968541	24968630	90	*	X00826	10250	24969594	24999772	30179	+	963	upstream	963	SRRM1
chr1	25071485	25071537	53	*	X00840	25932	25071760	25170815	99056	+	222	upstream	222	CLIC4
chr1	25559610	25559714	105	*	X00852	25949	25548767	25559013	10247	-	596	upstream	596	SYF2
chr1	25665118	25665222	105	*	X00856	57035	25568740	25664656	95917	-	461	upstream	461	RSRP1
chr1	25666603	25666692	90	*	X00857	57035	25568740	25664656	95917	-	1946	upstream	1946	RSRP1
chr1	25757388	25757459	72	*	X00859	55219	25757388	25826698	69311	+	0	inside	0	MACO1
chr1	25757388	25757459	72	*	X00859	6006	25688740	25756683	67944	-	704	upstream	704	RHCE
chr1	25758083	25758202	120	*	X00860	6006	25688740	25756683	67944	-	1399	upstream	1399	RHCE
chr1	25870090	25870129	40	*	X00863	26119	25870076	25895377	25302	+	0	inside	13	LDLRAP1
chr1	26126511	26126592	82	*	X00876	57190	26126667	26144713	18047	+	74	upstream	74	SELENON
chr1	26144343	26144462	120	*	X00881	56181	26146397	26159433	13037	+	1934	upstream	1934	MTFR1L
chr1	26144984	26145088	105	*	X00882	56181	26146397	26159433	13037	+	1308	upstream	1308	MTFR1L
chr1	26185943	26186013	71	*	X00885	79000	26160497	26185848	25352	-	94	upstream	94	AUNIP
chr1	26233226	26233345	120	*	X00890	100500808	26232853	26232945	93	-	280	upstream	280	MIR3917
chr1	26233226	26233345	120	*	X00890	3925	26210677	26233368	22692	-	0	inside	22	STMN1
chr1	26324244	26324408	165	*	X00892	5051	26286258	26324648	38391	-	0	inside	239	PAFAH2
chr1	26347695	26347814	120	*	X00893	2134	26348271	26362954	14684	+	456	upstream	456	EXTL1
chr1	26485486	26485556	71	*	X00895	79927	26485511	26489119	3609	+	0	overlapStart	0	FAM110D
chr1	26560646	26560799	154	*	X00896	64793	26560693	26605299	44607	+	0	overlapStart	0	CEP85
chr1	26798217	26798336	120	*	X00903	3151	26798902	26803133	4232	+	565	upstream	565	HMGN2
chr1	26798677	26798871	195	*	X00904	3151	26798902	26803133	4232	+	30	upstream	30	HMGN2
chr1	26855938	26856091	154	*	X00908	6195	26856249	26901520	45272	+	157	upstream	157	RPS6KA1
chr1	27022241	27022330	90	*	X00912	8289	27022522	27108601	86080	+	191	upstream	191	ARID1A
chr1	27022406	27022525	120	*	X00913	8289	27022522	27108601	86080	+	0	overlapStart	0	ARID1A
chr1	27022764	27022786	23	*	X00914	8289	27022522	27108601	86080	+	0	inside	241	ARID1A
chr1	27153007	27153102	96	*	X00924	84243	27153201	27182211	29011	+	98	upstream	98	ZDHHC18
chr1	27153333	27153371	39	*	X00925	84243	27153201	27182211	29011	+	0	inside	131	ZDHHC18
chr1	27217301	27217353	53	*	X00928	54707	27205873	27216869	10997	-	431	upstream	431	GPN2
chr1	27339495	27339540	46	*	X00931	115572	27331511	27339333	7823	-	161	upstream	161	TENT5B
chr1	27481247	27481561	315	*	X00938	6548	27425300	27481621	56322	-	0	inside	59	SLC9A1
chr1	27560695	27560740	46	*	X00941	23038	27561007	27635124	74118	+	266	upstream	266	WDTC1
chr1	27561235	27561369	135	*	X00942	23038	27561007	27635124	74118	+	0	inside	227	WDTC1
chr1	27648557	27648601	45	*	X00946	84065	27648636	27662891	14256	+	34	upstream	34	TMEM222
chr1	27648557	27648601	45	*	X00946	644961	27650365	27653016	2652	+	1763	upstream	1763	ACTG1P20
chr1	27648654	27648691	38	*	X00947	84065	27648636	27662891	14256	+	0	inside	17	TMEM222
chr1	27648654	27648691	38	*	X00947	644961	27650365	27653016	2652	+	1673	upstream	1673	ACTG1P20
chr1	27718614	27718694	81	*	X00951	2827	27719148	27722317	3170	+	453	upstream	453	GPR3
chr1	27816581	27816730	150	*	X00956	10163	27730734	27816678	85945	-	0	overlapStart	0	WASF2
chr1	27930043	27930072	30	*	X00995	27245	27860756	27930361	69606	-	0	inside	288	AHDC1
chr1	27930185	27930312	128	*	X00996	27245	27860756	27930361	69606	-	0	inside	48	AHDC1
chr1	27930373	27930492	120	*	X00997	27245	27860756	27930361	69606	-	11	upstream	11	AHDC1
chr1	27930732	27930733	2	*	X00998	27245	27860756	27930361	69606	-	370	upstream	370	AHDC1
chr1	28414851	28414970	120	*	X01006	2140	28296855	28415148	118294	-	0	inside	177	EYA3
chr1	28559181	28559315	135	*	X01009	22826	28526790	28559542	32753	-	0	inside	226	DNAJC8
chr1	28585343	28585462	120	*	X01012	83667	28585963	28609002	23040	+	500	upstream	500	SESN2
chr1	28585980	28586010	31	*	X01013	83667	28585963	28609002	23040	+	0	inside	16	SESN2
chr1	28879603	28879625	23	*	X01020	54952	28879529	28905057	25529	+	0	inside	73	TRNAU1AP
chr1	28907948	28908082	135	*	X01023	677838	28906276	28906405	130	-	1542	upstream	1542	SNORA61
chr1	28907948	28908082	135	*	X01023	677825	28906893	28907024	132	-	923	upstream	923	SNORA44
chr1	28907948	28908082	135	*	X01023	692073	28907432	28907565	134	-	382	upstream	382	SNORA16A
chr1	28995337	28995379	43	*	X01025	10691	28995240	29042115	46876	+	0	inside	96	GMEB1
chr1	28995417	28995471	55	*	X01026	10691	28995240	29042115	46876	+	0	inside	176	GMEB1
chr1	28995517	28995741	225	*	X01027	10691	28995240	29042115	46876	+	0	inside	276	GMEB1
chr1	29062988	29063107	120	*	X01028	51441	29063133	29096287	33155	+	25	upstream	25	YTHDF2
chr1	29450619	29450656	38	*	X01037	399474	29445937	29450421	4485	-	197	upstream	197	TMEM200B
chr1	29451191	29451325	135	*	X01038	399474	29445937	29450421	4485	-	769	upstream	769	TMEM200B
chr1	29451632	29451827	196	*	X01039	399474	29445937	29450421	4485	-	1210	upstream	1210	TMEM200B
chr1	31190743	31191271	529	*	X01079	100129196	31191619	31199593	7975	+	347	upstream	347	MATN1-AS1
chr1	31191516	31191552	37	*	X01080	100129196	31191619	31199593	7975	+	66	upstream	66	MATN1-AS1
chr1	31769982	31770116	135	*	X01101	51538	31769842	31837780	67939	+	0	inside	139	ZCCHC17
chr1	31769982	31770116	135	*	X01101	9410	31732415	31769644	37230	-	337	upstream	337	SNRNP40
chr1	32228679	32229593	915	*	X01120	576	32192718	32229648	36931	-	0	inside	54	ADGRB2
chr1	32229624	32229695	72	*	X01121	576	32192718	32229648	36931	-	0	overlapStart	0	ADGRB2
chr1	32230024	32230173	150	*	X01122	576	32192718	32229648	36931	-	375	upstream	375	ADGRB2
chr1	32230989	32231123	135	*	X01123	576	32192718	32229648	36931	-	1340	upstream	1340	ADGRB2
chr1	32404415	32404534	120	*	X01136	8073	32372022	32403988	31967	-	426	upstream	426	PTP4A2
chr1	32405282	32405371	90	*	X01137	8073	32372022	32403988	31967	-	1293	upstream	1293	PTP4A2
chr1	32478845	32479159	315	*	X01138	10657	32479295	32526460	47166	+	135	upstream	135	KHDRBS1
chr1	32538790	32539209	420	*	X01141	55116	32538503	32568467	29965	+	0	inside	286	TMEM39B
chr1	32645545	32645649	105	*	X01144	200081	32645345	32663886	18542	+	0	inside	199	TXLNA
chr1	32664440	32664519	80	*	X01146	79140	32666202	32670991	4790	+	1682	upstream	1682	CCDC28B
chr1	32665889	32666008	120	*	X01147	79140	32666202	32670991	4790	+	193	upstream	193	CCDC28B
chr1	32666474	32666668	195	*	X01148	79140	32666202	32670991	4790	+	0	inside	271	CCDC28B
chr1	32687579	32687698	120	*	X01150	56063	32680078	32687926	7849	-	0	inside	227	TMEM234
chr1	32687857	32687961	105	*	X01151	56063	32680078	32687926	7849	-	0	overlapStart	0	TMEM234
chr1	32688247	32688351	105	*	X01152	56063	32680078	32687926	7849	-	320	upstream	320	TMEM234
chr1	32757650	32757739	90	*	X01153	3065	32757708	32799224	41517	+	0	overlapStart	0	HDAC1
chr1	32757980	32758228	249	*	X01154	3065	32757708	32799224	41517	+	0	inside	271	HDAC1
chr1	32801690	32801781	92	*	X01159	65108	32799430	32801840	2411	-	0	inside	58	MARCKSL1
chr1	32859704	32859958	255	*	X01162	55108	32830705	32860062	29358	-	0	inside	103	BSDC1
chr1	32860004	32860138	135	*	X01163	55108	32830705	32860062	29358	-	0	overlapStart	0	BSDC1
chr1	33116803	33116892	90	*	X01166	5928	33116749	33151812	35064	+	0	inside	53	RBBP4
chr1	33116803	33116892	90	*	X01166	339487	33065773	33116185	50413	-	617	upstream	617	ZBTB8OS
chr1	33168449	33168568	120	*	X01168	81493	33145507	33168361	22855	-	87	upstream	87	SYNC
chr1	33168644	33168748	105	*	X01169	81493	33145507	33168361	22855	-	282	upstream	282	SYNC
chr1	33168824	33168973	150	*	X01170	81493	33145507	33168361	22855	-	462	upstream	462	SYNC
chr1	33283189	33283428	240	*	X01180	64766	33283043	33324480	41438	+	0	inside	145	S100PBP
chr1	33283189	33283428	240	*	X01180	8565	33240840	33283633	42794	-	0	inside	204	YARS1
chr1	33283759	33283893	135	*	X01181	8565	33240840	33283633	42794	-	125	upstream	125	YARS1
chr1	33546776	33546846	71	*	X01186	113451	33546714	33586131	39418	+	0	inside	61	AZIN2
chr1	33647302	33647571	270	*	X01192	55223	33611003	33647671	36669	-	0	inside	99	TRIM62
chr1	33721155	33721274	120	*	X01193	149076	33722174	33766320	44147	+	899	upstream	899	ZNF362
chr1	33721755	33721814	60	*	X01194	149076	33722174	33766320	44147	+	359	upstream	359	ZNF362
chr1	33938367	33938606	240	*	X01212	7579	33938232	33961995	23764	+	0	inside	134	ZSCAN20
chr1	35450860	35450964	105	*	X01217	100506144	35447127	35450948	3822	-	0	overlapStart	0	TMEM35B
chr1	35450860	35450964	105	*	X01217	653160	35441300	35450948	9649	-	0	overlapStart	0	LOC653160
chr1	35497244	35497378	135	*	X01218	9204	35449368	35497569	48202	-	0	inside	190	ZMYM6
chr1	35734854	35735153	300	*	X01221	9202	35734568	35887545	152978	+	0	inside	285	ZMYM4
chr1	36022921	36023085	165	*	X01224	23154	36023393	36032380	8988	+	307	upstream	307	NCDN
chr1	36024099	36024188	90	*	X01225	79932	35899091	36023551	124461	-	547	upstream	547	KIAA0319L
chr1	36024316	36024331	16	*	X01226	79932	35899091	36023551	124461	-	764	upstream	764	KIAA0319L
chr1	36184750	36184869	120	*	X01230	127703	36179477	36184790	5314	-	0	overlapStart	0	C1orf216
chr1	36235495	36235593	99	*	X01232	63967	36197713	36235551	37839	-	0	overlapStart	0	CLSPN
chr1	36273342	36273461	120	*	X01233	192670	36273828	36323490	49663	+	366	upstream	366	AGO4
chr1	36396292	36396381	90	*	X01235	192669	36396319	36522063	125745	+	0	overlapStart	0	AGO3
chr1	36549928	36550047	120	*	X01237	27285	36549676	36553876	4201	+	0	inside	251	TEKT2
chr1	36554161	36554306	146	*	X01239	54936	36554453	36559533	5081	+	146	upstream	146	ADPRHL2
chr1	36620117	36620206	90	*	X01251	55700	36621803	36646441	24639	+	1596	upstream	1596	MAP7D1
chr1	36620717	36620857	141	*	X01252	55700	36621803	36646441	24639	+	945	upstream	945	MAP7D1
chr1	36621038	36621157	120	*	X01253	55700	36621803	36646441	24639	+	645	upstream	645	MAP7D1
chr1	36621638	36621727	90	*	X01254	55700	36621803	36646441	24639	+	75	upstream	75	MAP7D1
chr1	36621638	36621727	90	*	X01254	27095	36602170	36621654	19485	-	0	overlapStart	0	TRAPPC3
